Hostnames,FQDN,IP
AIRDBEJS4007,AIRDBEJS4007.emea.group.atlascopco.com,"[['10.26.8.172'], ['10.26.8.172'], ['10.26.8.172']]"
AIRDBEJS4008,AIRDBEJS4008.emea.group.atlascopco.com,"[['10.26.8.173'], ['10.26.8.173'], ['10.26.8.173']]"
AIRDBEJS4009,AIRDBEJS4009.emea.group.atlascopco.com,"[['10.26.8.174'], ['10.26.8.174'], ['10.26.8.174']]"
AIRDBEJS4010,AIRDBEJS4010.emea.group.atlascopco.com,"[['10.26.8.175'], ['10.26.8.175'], ['10.26.8.175']]"
AIRDBEJS4011,AIRDBEJS4011.emea.group.atlascopco.com,"[['10.26.8.176'], ['10.26.8.176'], ['10.26.8.176']]"
AIRDBEOF9009,AIRDBEOF9009.emea.group.atlascopco.com,"[['10.199.18.72'], ['192.168.145.72'], ['10.26.14.130'], ['10.199.18.72'], ['192.168.145.72'], ['10.26.14.130'], ['10.26.14.130'], ['10.199.18.72'], ['192.168.145.72']]"
AIRDBEOF9011,AIRDBEOF9011.emea.group.atlascopco.com,"[['10.199.18.83'], ['10.26.17.14'], ['192.168.18.83'], ['10.26.17.14'], ['10.26.17.14']]"
AIRDBEWS4003,AIRDBEWS4003.emea.group.atlascopco.com,"[['10.199.18.215'], ['10.126.165.13'], ['192.168.18.215'], ['169.254.227.43'], ['169.254.67.176'], ['fe80::d09e:3e67:5eb1:43b0'], ['192.168.18.215'], [], [], ['10.199.18.215'], ['10.126.165.13']]"
AIRDBEWS4004,AIRDBEWS4004.emea.group.atlascopco.com,"[['192.168.146.217'], ['10.26.8.130'], ['10.199.18.217'], ['169.254.37.131'], [], ['10.26.8.130'], ['fe80::a50c:85e6:49c4:fe6a'], ['10.199.18.217'], [], ['169.254.29.38'], ['fe80::cd4e:c006:4057:1d26'], ['192.168.146.217']]"
AIRSBEAP0036,AIRSBEAP0036.atlascopco.group,"[['10.126.161.31'], ['10.26.20.62', '10.26.20.61', '10.26.20.64'], ['10.199.18.75'], ['192.168.146.175'], ['10.126.173.102'], ['10.26.20.64'], ['10.26.20.61'], ['10.26.20.62'], ['10.126.173.102'], ['10.199.18.75'], ['192.168.146.175']]"
AIRSBEAP0037,AIRSBEAP0037.atlascopco.group,"[['10.126.161.32'], ['10.26.20.63'], ['10.199.18.137'], ['192.168.18.137'], ['10.126.173.103'], ['10.26.20.63'], ['10.126.173.103'], ['10.199.18.137'], ['192.168.18.137']]"
AIRSBEAP0051,AIRSBEAP0051.emea.group.atlascopco.com,"[['10.126.160.52'], ['192.168.144.225'], ['10.126.160.52'], [], ['192.168.144.225']]"
AIRSBEAP0070,AIRSBEAP0070.atlascopco.group,"[['10.126.146.98'], ['fe80::40c6:920b:5d53:16c7', '10.126.146.98'], ['10.126.146.98'], ['fe80::40c6:920b:5d53:16c7%7']]"
AIRSBEAP0071,AIRSBEAP0071.atlascopco.group,"[['10.126.146.97'], ['fe80::f425:3302:1ff9:dca0', '10.126.146.97'], ['10.126.146.97'], ['fe80::f425:3302:1ff9:dca0%14']]"
AIRSBEAP0183,AIRSBEAP0183.emea.group.atlascopco.com,"[['10.25.56.183'], ['10.253.0.175'], ['10.25.56.183'], ['10.253.0.175'], [], []]"
AIRSBEAP0187,AIRSBEAP0187.emea.group.atlascopco.com,"[['10.126.144.212'], ['10.253.0.116'], ['fe80::4daa:5490:7409:62d7', '10.126.144.212'], ['fe80::9d9a:77e1:d545:8935', '10.253.0.116'], ['10.126.144.212'], ['fe80::4daa:5490:7409:62d7'], ['10.253.0.116'], ['fe80::9d9a:77e1:d545:8935']]"
AIRSBEAP0188,AIRSBEAP0188.emea.group.atlascopco.com,"[['10.126.144.29'], ['10.253.0.180'], ['fe80::188c:c3b9:7cfd:f415', '10.126.144.29'], ['fe80::70a7:f53d:808c:81a3', '10.253.0.180'], ['10.253.0.180'], ['fe80::70a7:f53d:808c:81a3'], ['10.126.144.29'], ['fe80::188c:c3b9:7cfd:f415']]"
AIRSBEAP0300,AIRSBEAP0300.emea.group.atlascopco.com,"[['10.126.144.43'], ['10.253.0.58'], ['fe80::71c6:b7c2:31e1:2102', '10.126.144.43'], ['fe80::f4ee:d7f6:733f:cb6e', '10.253.0.58'], ['10.253.0.58'], ['fe80::f4ee:d7f6:733f:cb6e'], ['10.126.144.43'], ['fe80::71c6:b7c2:31e1:2102']]"
AIRSBEAP0390,AIRSBEAP0390.emea.group.atlascopco.com,"[['10.126.144.51'], ['10.253.0.239'], ['fe80::6949:6f47:775:634b', '10.126.144.51'], ['fe80::1944:570b:182e:585a', '10.253.0.239'], ['10.126.144.51'], ['fe80::6949:6f47:775:634b'], ['10.253.0.239'], ['fe80::1944:570b:182e:585a']]"
AIRSBEAP0391,AIRSBEAP0391.emea.group.atlascopco.com,"[['10.253.0.94'], ['10.126.144.52'], ['fe80::f186:6308:2a0d:af22', '10.126.144.52'], ['10.126.144.52'], ['fe80::f186:6308:2a0d:af22']]"
AIRSBEAP0401,AIRSBEAP0401.emea.group.atlascopco.com,"[['10.253.0.237'], ['10.126.144.142'], ['fe80::59ff:fe55:62b5:7573', '10.253.0.237'], ['fe80::2117:d784:6c11:43f5', '10.126.144.142'], ['10.126.144.142'], ['fe80::2117:d784:6c11:43f5'], ['10.253.0.237'], ['fe80::59ff:fe55:62b5:7573']]"
AIRSBEAP0412,AIRSBEAP0412.emea.group.atlascopco.com,"[['10.253.0.195'], ['10.126.144.128'], ['fe80::748e:8084:8967:c464', '10.253.0.195', '169.254.196.100'], ['fe80::fcfa:3754:1f41:5ce', '10.126.144.128'], ['10.253.0.195'], ['fe80::748e:8084:8967:c464'], ['10.126.144.128'], ['fe80::fcfa:3754:1f41:5ce']]"
AIRSBEAP0413,AIRSBEAP0413.emea.group.atlascopco.com,"[['10.253.0.167'], ['10.126.144.150'], ['fe80::d151:80fb:1e52:cd7e', '10.253.0.167'], ['fe80::a11b:4fa8:1f46:7a10', '10.126.144.150'], ['10.126.144.150'], ['fe80::a11b:4fa8:1f46:7a10'], ['10.253.0.167'], ['fe80::d151:80fb:1e52:cd7e']]"
AIRSBEAP0470,AIRSBEAP0470.emea.group.atlascopco.com,"[['10.253.0.191'], ['10.126.144.207'], ['10.253.0.191'], ['10.126.144.207'], ['10.126.144.207'], ['10.253.0.191']]"
AIRSBEAP0499,AIRSBEAP0499.emea.group.atlascopco.com,"[['10.126.144.195'], ['10.253.0.232'], ['10.126.144.195'], ['10.253.0.232'], ['10.126.144.195'], ['10.253.0.232']]"
AIRSBEAP0507,AIRSBEAP0507.emea.group.atlascopco.com,"[['10.126.144.163'], ['10.126.144.163'], ['10.126.144.163']]"
AIRSBEAP0509,AIRSBEAP0509.emea.group.atlascopco.com,"[['10.253.0.246'], ['10.126.144.54'], ['fe80::70ce:bb0a:3ba8:211d', '10.253.0.246'], ['fe80::f4be:62f8:d80e:9cd1', '10.126.144.54'], ['10.126.144.54'], ['fe80::f4be:62f8:d80e:9cd1'], ['10.253.0.246'], ['fe80::70ce:bb0a:3ba8:211d']]"
AIRSBEAP0530,AIRSBEAP0530.emea.group.atlascopco.com,"[['10.126.144.63'], ['10.253.0.194'], ['fe80::b8ac:cca7:d836:261', '10.126.144.63'], ['fe80::486f:426:3bff:3cb9', '10.253.0.194'], ['10.126.144.63'], ['fe80::b8ac:cca7:d836:261'], ['10.253.0.194'], ['fe80::486f:426:3bff:3cb9']]"
AIRSBEAP0536,AIRSBEAP0536.emea.group.atlascopco.com,"[['10.253.0.187'], ['10.126.144.169'], ['10.76.96.124']]"
AIRSBEAP0537,AIRSBEAP0537.emea.group.atlascopco.com,"[['10.253.0.186'], ['10.126.144.170'], ['10.76.96.141']]"
AIRSBEAP0544,AIRSBEAP0544.emea.group.atlascopco.com,"[['10.253.0.214'], ['10.126.144.130'], ['fe80::b07b:453f:dea5:3fda', '10.253.0.214'], ['fe80::93e:2cb2:c761:ba59', '10.126.144.130'], ['10.126.144.130'], ['fe80::93e:2cb2:c761:ba59'], ['10.253.0.214'], ['fe80::b07b:453f:dea5:3fda']]"
AIRSBEAP0546,AIRSBEAP0546.emea.group.atlascopco.com,"[['10.126.149.14'], ['10.126.149.14'], ['10.126.149.14']]"
AIRSBEAP0572,AIRSBEAP0572.emea.group.atlascopco.com,"[['10.253.0.49'], ['10.126.144.101'], ['fe80::44c5:159f:75a1:f131', '10.253.0.49'], ['fe80::b128:1172:ff9a:6fa5', '10.126.144.101'], ['10.253.0.49'], ['fe80::44c5:159f:75a1:f131'], ['10.126.144.101'], ['fe80::b128:1172:ff9a:6fa5']]"
AIRSBEAP0576,AIRSBEAP0576.emea.group.atlascopco.com,"[['10.126.144.161'], ['fe80::192f:6379:9b0e:5ef4', '10.126.144.161'], ['10.126.144.161'], ['fe80::192f:6379:9b0e:5ef4%4']]"
AIRSBEAP0593,AIRSBEAP0593.emea.group.atlascopco.com,"[['10.126.144.245'], ['AIRQLIK'], ['fe80::b0:f096:180a:1b32', '10.126.144.245'], ['10.126.144.245'], ['fe80::b0:f096:180a:1b32']]"
AIRSBEAP0594,AIRSBEAP0594.emea.group.atlascopco.com,"[['10.126.144.70'], ['fe80::ec99:1139:3634:dfca', '10.126.144.70'], ['10.126.144.70'], ['fe80::ec99:1139:3634:dfca']]"
AIRSBEAP0597,AIRSBEAP0597.emea.group.atlascopco.com,"[['10.126.144.71'], ['10.253.0.220'], ['fe80::968:c918:5e25:c4d3', '10.126.144.71'], ['fe80::f51a:cecf:d5f3:e41d', '10.253.0.220'], ['10.126.144.71'], ['fe80::968:c918:5e25:c4d3'], ['10.253.0.220'], ['fe80::f51a:cecf:d5f3:e41d']]"
AIRSBEAP0598,AIRSBEAP0598.emea.group.atlascopco.com,"[['10.126.144.193'], ['10.253.0.181'], ['fe80::d02c:ec81:beb9:ffb8', '10.126.144.193'], ['fe80::284b:be47:285:c5aa', '10.253.0.181'], ['10.253.0.181'], ['fe80::284b:be47:285:c5aa'], ['10.126.144.193'], ['fe80::d02c:ec81:beb9:ffb8']]"
AIRSBEAP0601,AIRSBEAP0601.emea.group.atlascopco.com,"[['10.253.0.217'], ['10.126.144.250'], ['fe80::b93f:89bb:2b0a:9b4f', '10.253.0.217'], ['fe80::558:bf26:af41:a957', '10.126.144.250'], ['10.253.0.217'], ['fe80::b93f:89bb:2b0a:9b4f'], ['10.126.144.250'], ['fe80::558:bf26:af41:a957']]"
AIRSBEAP0606,AIRSBEAP0606.emea.group.atlascopco.com,"[['10.253.0.141'], ['10.126.144.148'], ['fe80::e4e7:e4fe:b678:e1ee', '10.253.0.141', '169.254.225.238'], ['fe80::e428:543:73e2:1bd', '10.126.144.148'], ['10.126.144.148'], ['fe80::e428:543:73e2:1bd'], []]"
AIRSBEAP0614,AIRSBEAP0614.emea.group.atlascopco.com,"[['10.253.0.196'], ['10.126.144.149'], ['fe80::a939:2eb6:7c06:76a', '10.253.0.196'], ['fe80::a5f4:2e06:6fcf:82ae', '10.126.144.149'], ['10.126.144.149'], ['fe80::a5f4:2e06:6fcf:82ae'], ['10.253.0.196'], ['fe80::a939:2eb6:7c06:76a']]"
AIRSBEAP0617,AIRSBEAP0617.emea.group.atlascopco.com,"[['169.254.83.92'], ['10.126.144.73'], ['fe80::ac1e:c3b8:d371:535c', '169.254.83.92'], ['fe80::3477:1d40:2313:4277', '10.126.144.73'], ['10.126.144.73'], ['fe80::3477:1d40:2313:4277'], ['169.254.83.92'], ['fe80::ac1e:c3b8:d371:535c']]"
AIRSBEAP0627,AIRSBEAP0627.emea.group.atlascopco.com,"[['169.254.83.57'], ['10.253.0.164'], ['10.126.144.224'], [], ['fe80::d97e:3a2e:cbe0:4483', '10.126.144.224'], ['10.126.144.224'], ['fe80::d97e:3a2e:cbe0:4483']]"
AIRSBEAP0628,AIRSBEAP0628.emea.group.atlascopco.com,"[['10.253.0.212'], ['10.126.144.253'], ['fe80::85fc:93e:8a02:e1a9', '10.253.0.212'], ['fe80::5048:bf9c:9e46:c6cf', '10.126.144.253'], ['10.253.0.212'], ['fe80::85fc:93e:8a02:e1a9'], ['10.126.144.253'], ['fe80::5048:bf9c:9e46:c6cf']]"
AIRSBEAP0638,AIRSBEAP0638.emea.group.atlascopco.com,"[['169.254.77.46'], ['10.126.144.132'], ['fe80::f9f2:58a1:b29:bbe5', '10.126.144.132'], ['fe80::d044:c972:fe03:4d2e', '169.254.77.46'], ['169.254.77.46'], ['fe80::d044:c972:fe03:4d2e'], ['10.126.144.132'], ['fe80::f9f2:58a1:b29:bbe5']]"
AIRSBEAP0639,AIRSBEAP0639.emea.group.atlascopco.com,"[['10.253.0.248'], ['10.126.160.26'], ['192.168.146.207'], ['fe80::d880:3625:35ee:4c63', '10.253.0.248'], ['fe80::acc8:dd38:ebf5:761b', '10.126.160.26'], ['192.168.146.207'], ['10.126.160.26'], ['fe80::acc8:dd38:ebf5:761b'], ['192.168.146.207'], ['10.253.0.248'], ['fe80::d880:3625:35ee:4c63']]"
AIRSBEAP0656,AIRSBEAP0656.emea.group.atlascopco.com,"[['10.126.144.119'], ['10.253.0.221'], ['fe80::5cff:6933:fefc:e7a3', '10.126.144.119'], ['fe80::3860:5af:92dc:2c52', '10.253.0.221'], ['10.253.0.221'], ['fe80::3860:5af:92dc:2c52'], ['10.126.144.119'], ['fe80::5cff:6933:fefc:e7a3']]"
AIRSBEAP0658,AIRSBEAP0658.emea.group.atlascopco.com,"[['10.253.0.132'], ['10.126.144.127'], ['fe80::46a:d81f:b45c:cc79', '10.253.0.132'], ['fe80::5068:74fb:d374:7d17', '10.126.144.127'], ['10.126.144.127'], ['fe80::5068:74fb:d374:7d17'], ['10.253.0.132'], ['fe80::46a:d81f:b45c:cc79']]"
AIRSBEAP0659,AIRSBEAP0659.emea.group.atlascopco.com,"[['10.126.144.102'], ['10.253.0.241'], ['fe80::5918:7016:b194:ea60', '10.126.144.102'], ['fe80::8999:55ce:c789:aa6', '10.253.0.241'], ['10.126.144.102'], ['fe80::5918:7016:b194:ea60'], ['10.253.0.241'], ['fe80::8999:55ce:c789:aa6']]"
AIRSBEAP0701,AIRSBEAP0701.atlascopco.group,"[['10.126.146.151'], ['fe80::6db2:dec1:8bc1:2912', '10.126.146.151'], ['10.126.146.151'], ['fe80::6db2:dec1:8bc1:2912%6']]"
AIRSBEAP0728,AIRSBEAP0728.emea.group.atlascopco.com,"[['10.126.145.146'], ['fe80::b9cc:b2b6:fe5b:d54c', '10.126.145.146'], ['10.126.145.146'], ['fe80::b9cc:b2b6:fe5b:d54c']]"
AIRSBEAP4003,AIRSBEAP4003.emea.group.atlascopco.com,"[['10.26.17.203'], ['10.26.17.203'], ['10.26.17.203']]"
AIRSBEAP4004,AIRSBEAP4004.emea.group.atlascopco.com,"[['10.26.17.234'], ['10.26.17.234'], ['10.26.17.234'], ['10.26.17.234']]"
AIRSBEAP4006,AIRSBEAP4006.emea.group.atlascopco.com,"[['10.26.17.198'], ['10.26.17.198'], ['10.26.17.198']]"
