Hostnames,FQDN,IP
SSCSBEASCH0002,SSCSBEASCH0002.emea.group.atlascopco.com,"[['10.126.144.166'], ['10.253.0.190'], ['fe80::25fd:5a2:f186:ffc2', '10.126.144.166'], ['fe80::bd09:c16c:a098:35e6', '10.253.0.190'], ['10.253.0.190'], ['fe80::bd09:c16c:a098:35e6'], ['10.126.144.166'], ['fe80::25fd:5a2:f186:ffc2']]"
SSCSBEASCH0003,SSCSBEASCH0003.emea.group.atlascopco.com,"[['10.253.0.189'], ['10.126.144.167'], ['fe80::59d3:b28a:aa5:788a', '10.253.0.189'], ['fe80::ed7a:8211:4609:998e', '10.126.144.167'], ['10.253.0.189'], ['fe80::59d3:b28a:aa5:788a'], ['10.126.144.167'], ['fe80::ed7a:8211:4609:998e']]"
SSCSBEAV01,SSCSBEAV01.acsis.local,"[['10.26.18.16'], ['10.26.18.16'], ['10.26.18.16']]"
SSCSBEIS4001,SSCSBEIS4001.emea.group.atlascopco.com,"[['10.26.17.132'], ['10.26.17.134'], ['10.26.17.132', '10.26.17.134'], ['10.26.17.134'], ['10.26.17.132']]"
SSCSBENO4124,SSCSBENO4124.atlascopco.group,"[['10.126.146.99'], ['fe80::401b:fde6:62b8:e68d', '10.126.146.99'], ['10.126.146.99'], ['fe80::401b:fde6:62b8:e68d%6']]"
SSCSBENO4162,SSCSBENO4162.atlascopco.group,"[['10.126.146.144'], ['fe80::81b9:a310:4377:abe8', '10.126.146.144'], ['10.126.146.144'], ['fe80::81b9:a310:4377:abe8%7']]"
SSIDBEJS4005,SSIDBEJS4005.emea.group.atlascopco.com,"[['10.26.20.140'], ['fe80::99cf:1f7c:8b47:898b', '10.26.20.140'], ['10.26.20.140'], ['fe80::99cf:1f7c:8b47:898b']]"
SSIDBEJS4006,SSIDBEJS4006.emea.group.atlascopco.com,"[['10.26.20.141'], ['fe80::ce6:1e96:94f1:8ccb', '10.26.20.141'], ['10.26.20.141'], ['fe80::ce6:1e96:94f1:8ccb']]"
SSIDBEJS4007,SSIDBEJS4007.emea.group.atlascopco.com,"[['10.26.20.139'], ['10.26.20.139'], ['fe80::d8c0:2aff:a0c6:2d51'], ['169.254.45.81'], ['fe80::1c68:9c4a:6277:873c'], ['169.254.135.60'], ['10.26.20.139'], [], []]"
SSIDBEJS4011,SSIDBEJS4011.emea.group.atlascopco.com,"[['10.126.144.201'], ['fe80::7805:74cd:31b9:b11d', '10.126.144.201'], ['10.126.144.201'], ['fe80::7805:74cd:31b9:b11d']]"
SSIDBEJS4012,SSIDBEJS4012.emea.group.atlascopco.com,"[['10.126.144.202'], ['fe80::74d2:c3bf:d846:138c', '10.126.144.202'], ['fe80::5d96:b90f:af30:690b'], ['169.254.105.11'], ['169.254.105.11'], ['fe80::5d96:b90f:af30:690b'], ['10.126.144.202'], ['fe80::74d2:c3bf:d846:138c']]"
SSISBEACSCOM01,SSISBEACSCOM01.emea.group.atlascopco.com,"[['10.199.17.110'], ['10.26.17.145'], ['fe80::d4f7:6a53:3e0:58c2', '10.199.17.110'], ['10.26.17.145'], ['fe80::7439:31bc:1445:8dd1', '192.168.146.35'], ['192.168.146.35'], ['fe80::7439:31bc:1445:8dd1%4'], ['10.26.17.145'], ['10.199.17.110'], ['fe80::d4f7:6a53:3e0:58c2%8']]"
SSISBEAP4065,SSISBEAP4065.emea.group.atlascopco.com,"[['10.126.172.20'], ['10.126.172.20'], ['10.126.172.20']]"
SSISBEAP4066,SSISBEAP4066.emea.group.atlascopco.com,"[['10.126.172.21'], ['10.126.172.21'], ['10.126.172.21']]"
SSISBEAP4071,SSISBEAP4071.emea.group.atlascopco.com,"[['10.126.172.26'], ['10.126.172.26'], ['10.126.172.26']]"
SSISBEAP4072,SSISBEAP4072.emea.group.atlascopco.com,"[['10.126.172.27'], ['10.126.172.27'], ['10.126.172.27']]"
SSISBEAP4073,SSISBEAP4073.emea.group.atlascopco.com,"[['10.126.172.28'], ['10.126.172.28'], ['10.126.172.28']]"
SSISBEAP4074,SSISBEAP4074.emea.group.atlascopco.com,"[['10.126.172.29'], ['10.126.172.29'], ['10.126.172.29']]"
SSISBEAP4075,SSISBEAP4075.emea.group.atlascopco.com,"[['10.126.172.30'], ['10.126.172.30'], ['10.126.172.30']]"
SSISBEAP4076,SSISBEAP4076.emea.group.atlascopco.com,"[['10.126.172.31'], ['10.126.172.31'], ['10.126.172.31']]"
SSISBEAP4091,SSISBEAP4091.emea.group.atlascopco.com,"[['10.26.14.37'], ['fe80::38c7:5ae5:7256:a537', '10.26.14.37'], ['10.26.14.37'], ['fe80::38c7:5ae5:7256:a537']]"
SSISBEAP4099,SSISBEAP4099.emea.group.atlascopco.com,"[['10.126.144.10'], ['fe80::c08:83da:8fe9:eb60', '10.126.144.10'], ['10.126.144.10'], ['fe80::c08:83da:8fe9:eb60']]"
SSISBEAPP10002,SSISBEAPP10002.ACDMZPRD.local,"[['193.109.73.233'], ['172.26.1.20'], ['10.126.166.20'], ['172.26.1.20'], ['172.26.1.20'], ['10.126.166.20']]"
SSISBEAPP10003,SSISBEAPP10003.ACDMZPRD.local,"[['10.26.15.241'], ['172.26.1.21'], ['10.126.166.21'], ['172.26.1.21'], ['10.126.166.21'], ['172.26.1.21']]"
SSISBEAPS10001,SSISBEAPS10001.acdmzstg.local,"[['10.26.22.12'], ['10.26.12.12'], ['193.109.73.181'], ['172.26.18.12'], ['10.26.22.12'], ['10.26.12.12'], ['10.26.12.12'], ['10.26.22.12'], ['172.26.18.12']]"
SSISBEAPSPPR01,SSISBEAPSPPR01.emea.group.atlascopco.com,"[['192.168.145.144'], ['10.199.17.4'], ['172.21.112.132'], ['10.26.17.115'], ['10.26.17.115'], ['169.254.176.116', '172.21.10.203'], ['192.168.145.144'], ['fe80::65d3:101f:edf5:f1b6', '10.199.17.4'], ['10.26.17.115'], ['192.168.145.144'], [], ['10.199.17.4'], ['fe80::65d3:101f:edf5:f1b6']]"
SSISBEAPSPPR02,SSISBEAPSPPR02.emea.group.atlascopco.com,"[['192.168.145.145'], ['10.199.17.5'], ['172.21.112.133'], ['10.26.17.116'], ['10.26.17.116'], ['172.21.10.204'], ['192.168.145.145'], ['fe80::8406:f194:9f09:169a', '10.199.17.5'], ['172.21.10.204'], ['10.199.17.5'], ['fe80::8406:f194:9f09:169a'], ['10.26.17.116'], ['192.168.145.145']]"
SSISBEAPSPPR03,SSISBEAPSPPR03.emea.group.atlascopco.com,"[['192.168.145.146'], ['10.199.17.6'], ['172.21.112.134'], ['10.26.17.117'], ['10.26.17.117'], ['172.21.10.205'], ['192.168.145.146'], ['fe80::24bf:bb89:fd0f:64b6', '10.199.17.6'], ['10.199.17.6'], ['fe80::24bf:bb89:fd0f:64b6'], ['192.168.145.146'], ['10.26.17.117'], ['172.21.10.205']]"
SSISBEAS4017,SSISBEAS4017.emea.group.atlascopco.com,"[['10.26.20.138'], ['10.26.20.138'], ['fe80::8497:a624:bea9:be25'], ['169.254.190.37'], ['169.254.190.37'], ['fe80::8497:a624:bea9:be25'], ['10.26.20.138']]"
SSISBEAS4025,SSISBEAS4025.emea.group.atlascopco.com,"[['10.199.16.180'], ['10.26.14.186'], ['192.168.144.188'], ['10.199.16.180'], ['10.26.14.186'], ['192.168.144.188'], ['10.26.14.186'], ['192.168.144.188'], ['10.199.16.180']]"
SSISBEAS4026,SSISBEAS4026.emea.group.atlascopco.com,"[['192.168.146.76'], ['10.26.14.187'], ['10.199.18.76'], [], [], [], ['192.168.146.76'], ['10.199.18.76'], ['10.26.14.187']]"
SSISBEAS4027,SSISBEAS4027.emea.group.atlascopco.com,"[['10.26.14.190'], ['10.26.14.190'], ['10.26.14.190']]"
SSISBEAS4028,SSISBEAS4028.emea.group.atlascopco.com,"[['10.26.14.193'], ['10.26.14.193'], ['10.26.14.193']]"
SSISBEAS4029,SSISBEAS4029.emea.group.atlascopco.com,"[['10.26.17.60'], ['fe80::790c:dad2:b4e5:184a', '10.26.17.60'], ['10.26.17.60'], ['fe80::790c:dad2:b4e5:184a%2']]"
SSISBEAS4030,SSISBEAS4030.emea.group.atlascopco.com,"[['10.26.14.40'], ['fe80::30d7:124d:bb29:66b6', '10.26.14.40'], ['10.26.14.40'], ['fe80::30d7:124d:bb29:66b6']]"
SSISBEASLI02,SSISBEASLI02.emea.group.atlascopco.com,"[['10.199.17.39'], ['192.168.145.39'], ['10.26.17.77'], ['10.199.17.39'], ['192.168.145.39'], ['10.26.17.77'], ['10.26.17.77'], ['192.168.145.39'], ['10.199.17.39']]"
SSISBECB0002,SSISBECB0002.atlascopco.group,"[['10.199.18.93'], ['10.26.14.99'], ['192.168.146.93'], ['172.23.24.21'], ['fe80::15bf:f9f8:b671:f736', '10.26.14.99'], ['fe80::7099:7101:6faa:d034', '10.199.18.93'], ['fe80::708f:1ee0:939e:1eab', '192.168.146.93'], ['192.168.146.93'], ['fe80::708f:1ee0:939e:1eab%12'], ['10.26.14.99'], ['fe80::15bf:f9f8:b671:f736%14'], ['10.199.18.93'], ['fe80::7099:7101:6faa:d034%4']]"
SSISBEDB4060,SSISBEDB4060.emea.group.atlascopco.com,"[['10.26.17.83'], ['10.26.17.135'], ['10.199.18.155'], ['192.168.146.155'], ['10.26.17.83', '10.26.17.135'], ['10.199.18.155'], ['192.168.146.155'], ['192.168.146.155'], ['10.199.18.155'], ['10.26.17.135'], ['10.26.17.83']]"
SSISBEDB4065,SSISBEDB4065.emea.group.atlascopco.com,"[['10.126.172.104'], ['10.126.172.103'], ['192.168.144.164'], ['10.199.16.53'], ['10.199.16.53'], ['192.168.144.164'], ['10.126.172.103', '10.126.172.104'], ['10.126.172.104'], ['10.126.172.103'], ['192.168.144.164'], ['10.199.16.53']]"
SSISBEDB4084,SSISBEDB4084.emea.group.atlascopco.com,"[['10.199.18.126'], ['10.26.14.215'], ['192.168.146.126'], ['10.26.14.213'], ['fe80::4062:1232:27c6:449c', '10.199.18.126'], ['fe80::58e1:5f9f:c84b:6f8', '10.26.14.213', '10.26.14.215'], ['fe80::5096:29e4:54a6:64a8', '192.168.146.126'], ['10.199.18.126'], ['fe80::4062:1232:27c6:449c%7'], ['10.26.14.215'], ['10.26.14.213'], ['fe80::58e1:5f9f:c84b:6f8%8'], ['192.168.146.126'], ['fe80::5096:29e4:54a6:64a8%3']]"
SSISBEDB4222,SSISBEDB4222.emea.group.atlascopco.com,"[['10.253.1.21'], ['10.199.18.222'], ['10.126.172.82'], ['192.168.146.222'], ['AIRCBEDB0022'], [], [], [], [], []]"
SSISBEDB4225,SSISBEDB4225.emea.group.atlascopco.com,"[['192.168.146.225'], ['10.126.172.93'], ['10.199.18.225'], ['192.168.146.225'], ['10.126.172.93'], ['fe80::71c9:46d7:c457:28b9', '10.199.18.225'], ['192.168.146.225'], ['10.126.172.93'], ['10.199.18.225'], ['fe80::71c9:46d7:c457:28b9%7']]"
SSISBEDB4371,SSISBEDB4371.emea.group.atlascopco.com,"[['10.199.16.66'], ['10.126.172.79'], ['192.168.16.66'], ['fe80::3d58:1dd:fd24:2614', '10.199.16.66'], ['10.126.172.79'], ['fe80::69ac:ab70:2ad6:259a', '192.168.16.66'], ['10.199.16.66'], ['fe80::3d58:1dd:fd24:2614%3'], ['192.168.16.66'], ['fe80::69ac:ab70:2ad6:259a%6'], ['10.126.172.79']]"
SSISBEDB4373,SSISBEDB4373.emea.group.atlascopco.com,"[['10.126.172.170'], ['10.126.172.169'], ['10.126.172.172'], ['10.126.172.173'], ['10.126.172.174'], ['10.199.18.203'], ['192.168.144.162'], ['fe80::655e:a600:9d11:d931', '10.126.173.70'], ['10.126.172.170', '10.126.172.173', '10.126.172.174'], ['10.199.18.203'], ['192.168.144.162'], ['fe80::c3f:7995:a41:4f46'], ['169.254.1.210'], ['10.199.18.203'], ['10.126.173.70'], ['fe80::655e:a600:9d11:d931'], ['192.168.144.162'], ['10.126.172.174'], ['10.126.172.173'], ['10.126.172.170']]"
SSISBEDB4374,SSISBEDB4374.emea.group.atlascopco.com,"[['10.126.172.169'], ['10.126.172.171'], ['192.168.144.163'], ['10.199.18.204'], ['fe80::a929:4c0e:aa3b:deaf', '10.126.173.71'], ['10.126.172.171', '10.126.172.169'], ['10.199.18.204'], ['192.168.144.163'], ['fe80::b590:725b:71dd:8850'], ['169.254.2.96'], ['10.126.172.169'], ['10.126.172.171'], ['192.168.144.163'], ['10.126.173.71'], ['fe80::a929:4c0e:aa3b:deaf'], ['10.199.18.204']]"
SSISBEDB4377,SSISBEDB4377.emea.group.atlascopco.com,"[['10.199.17.200'], ['10.126.172.175'], ['10.126.172.179'], ['192.168.145.200'], ['AIRREPORTDEV01'], ['SQLREPORT2012DEV'], ['AIRCBEDB0142'], ['aircbedb0143\\STG'], ['10.199.17.200'], ['10.126.172.175', '10.126.172.179'], ['192.168.145.200'], ['10.199.17.200'], ['192.168.145.200'], ['10.126.172.179'], ['10.126.172.175']]"
SSISBEDBSQSPPR1,SSISBEDBSQSPPR1.emea.group.atlascopco.com,"[['192.168.145.151'], ['172.21.10.206'], ['172.21.112.135'], ['10.26.17.118'], ['10.26.17.118'], ['172.21.10.206'], ['192.168.145.151'], ['10.26.17.118'], ['172.21.10.206'], ['192.168.145.151']]"
SSISBEIS00106,SSISBEIS00106.atlascopco.group,"[['10.25.58.37'], ['10.25.58.37'], ['10.25.58.37']]"
SSISBEIS00107,SSISBEIS00107.atlascopco.group,"[['10.25.52.172'], ['10.25.52.172'], ['10.25.52.172']]"
SSISBEIS4016,SSISBEIS4016.emea.group.atlascopco.com,"[['10.26.14.140'], ['10.26.14.140'], ['10.26.14.140']]"
SSISBEIS4017,SSISBEIS4017.emea.group.atlascopco.com,"[['10.26.14.141'], ['fe80::bdd4:b467:79d9:386e', '10.26.14.141'], ['fe80::edfc:2f2:82fa:96be'], ['169.254.150.190'], ['10.26.14.141'], ['fe80::3892:9bca:c51e:1dca']]"
SSISBEIS4021,SSISBEIS4021.emea.group.atlascopco.com,"[['10.26.14.154'], ['10.26.14.154'], ['10.199.16.93'], ['10.26.14.154'], ['10.199.16.93'], ['10.26.14.154']]"
SSISBEISCH0001,SSISBEISCH0001.group.atlascopco.com,"[['10.253.0.223'], ['10.126.144.117'], ['fe80::a017:4195:21d1:cb6d', '10.253.0.223'], ['fe80::44fe:2de4:9f1e:eb76', '10.126.144.117'], ['10.126.144.117'], ['fe80::44fe:2de4:9f1e:eb76'], ['10.253.0.223'], ['fe80::a017:4195:21d1:cb6d']]"
SSISBEISP10001,SSISBEISP10001.dmz.atlascopco-external.com,"[['169.254.171.11'], ['192.168.3.21']]"
SSISBEPTRN1,SSISBEPTRN1.emea.group.atlascopco.com,"[['10.26.17.121'], ['10.26.17.121'], ['10.26.17.121'], ['10.26.17.121']]"
SSISBEPTRN2,SSISBEPTRN2.emea.group.atlascopco.com,"[['10.26.17.181'], ['10.26.17.181'], ['10.26.17.181']]"
SSISBESDB01,SSISBESDB01.atlascopco.group,"[['10.199.17.201'], ['10.126.160.61'], ['192.168.17.201'], ['fe80::cc97:b41a:f1f1:10f', '10.199.17.201'], ['10.126.160.61'], ['fe80::c4ee:d3e6:79f9:6a81', '192.168.17.201'], ['10.199.17.201'], ['fe80::cc97:b41a:f1f1:10f%9'], ['192.168.17.201'], ['fe80::c4ee:d3e6:79f9:6a81%10'], ['10.126.160.61']]"
SSISBESMP01,SSISBESMP01.emea.group.atlascopco.com,"[['10.126.145.66'], ['10.126.145.66'], ['10.126.145.66']]"
SSISBESMPIG01,SSISBESMPIG01.ACDMZPRD.local,"[['185.180.76.141'], ['10.126.132.11'], ['10.126.132.11'], ['10.126.132.11']]"
SSISBESSS001,SSISBESSS001.emea.group.atlascopco.com,"[['10.25.58.35'], ['10.253.0.184'], ['10.253.0.166'], ['fe80::1162:3d3f:3127:474f', '10.25.58.35'], ['fe80::901b:d9ae:b078:699', '10.253.0.184'], ['fe80::e86d:81ff:75aa:555b', '10.253.0.166'], ['10.25.58.35'], ['fe80::1162:3d3f:3127:474f'], ['10.253.0.184'], ['fe80::901b:d9ae:b078:699'], ['10.253.0.166'], ['fe80::e86d:81ff:75aa:555b']]"
SSISBETS0001,SSISBETS0001.emea.group.atlascopco.com,"[['10.199.17.65'], ['192.168.145.65'], ['10.26.14.120'], ['10.199.17.65'], ['192.168.145.65'], ['10.26.14.120'], ['10.26.14.120'], ['192.168.145.65'], ['10.199.17.65']]"
SSISBETS0005,SSISBETS0005.emea.group.atlascopco.com,"[['10.199.18.56'], ['10.26.14.97'], ['192.168.146.56'], ['fe80::d100:b2c1:46b9:430a', '10.199.18.56'], ['fe80::38dc:8078:de18:3304', '10.26.14.97'], ['fe80::c4cb:7515:f46b:f175', '192.168.146.56'], ['192.168.146.56'], ['fe80::c4cb:7515:f46b:f175%8'], ['10.26.14.97'], ['fe80::38dc:8078:de18:3304%6'], ['10.199.18.56'], ['fe80::d100:b2c1:46b9:430a%13']]"
SSISCNAS0051,SSISCNAS0051.atlascopco.group,"[['10.186.129.151'], ['10.186.129.151'], ['10.186.129.151']]"
SSISCNWU0001,SSISCNWU0001.group.atlascopco.com,"[['10.186.129.206'], [], ['10.186.129.206']]"
SSISGLISDARCA2,SSISGLISDARCA2.atlascopco.group,"[['10.76.113.8'], ['10.76.113.8'], ['fe80::3d20:eab9:80e9:ad19%2']]"
SSISGLISDARCA3,SSISGLISDARCA3.atlascopco.group,"[['10.76.113.8'], ['10.76.113.7'], ['fe80::55f9:9a0b:e8d9:82cf%2']]"
SSISGLISDARCA4,SSISGLISDARCA4.atlascopco.group,"[['10.76.113.6'], ['10.76.113.6'], ['fe80::7443:9372:d069:37fe%2']]"
SSISINBPCS001,SSISINBPCS001.apac.group.atlascopco.com,"[['10.191.2.10'], ['10.191.2.10'], ['fe80::f4e0:73fe:c9ba:ba67']]"
SSISNLISDK0003,SSISNLISDK0003.atlascopco.group,"[['10.76.113.25'], ['10.76.113.25'], ['fe80::843d:36bf:6d54:a1f5%3']]"
SSISNLWU0001,SSISNLWU0001.atlascopco.group,"[['10.76.113.36'], ['10.76.113.36'], ['fe80::fd66:7d65:2bc1:dd20%3']]"
SSISSGAS0810,SSISSGAS0810.apac.group.atlascopco.com,"[['10.72.0.30'], ['10.72.0.30'], ['10.72.0.30']]"
SSISSGAS0817,SSISSGAS0817.apac.group.atlascopco.com,"[['10.72.0.48'], ['10.72.0.48'], ['10.72.0.48']]"
SSISSGAS0837,SSISSGAS0837.WORKGROUP,"[['10.72.2.148'], ['203.95.68.17'], ['10.72.2.148'], ['10.72.2.148']]"
SSISSGDC0802,SSISSGDC0802.atlascopco.group,"[['10.72.0.66'], ['10.72.0.66'], ['10.72.0.66']]"
SSISSGISDK0003,SSISSGISDK0003.atlascopco.group,"[['10.76.16.9'], ['10.76.16.9'], ['fe80::f9a9:49bc:987a:5aa3%2']]"
SSISSGSQL001,SSISSGSQL001.apac.group.atlascopco.com,"[['10.72.0.73'], ['10.72.0.72'], ['10.72.0.70'], ['10.72.0.70'], ['10.72.0.70', '10.72.0.73'], ['169.254.2.24'], ['10.72.0.73'], ['10.72.0.70']]"
SSISSGSQL002,SSISSGSQL002.apac.group.atlascopco.com,"[['10.72.0.71'], ['10.72.0.72'], ['10.72.0.73'], ['10.72.0.71', '10.72.0.72'], ['169.254.1.39'], ['10.72.0.72'], ['10.72.0.71']]"
SSISSGSQL100,SSISSGSQL100.apac.group.atlascopco.com,"[['10.72.0.63'], ['10.72.0.57'], ['10.72.0.58'], ['10.72.0.57', '10.72.0.58', '10.72.0.63'], ['10.72.0.63'], ['10.72.0.58'], ['10.72.0.57']]"
SSISSGWU0001,SSISSGWU0001.apac.group.atlascopco.com,"[['10.72.0.45'], ['10.72.0.45'], ['10.72.0.45']]"
SSISSGWW0802,SSISSGWW0802.WORKGROUP,"[['10.72.2.138'], ['203.95.68.9'], ['10.72.2.138'], ['10.72.2.138']]"
SSISUSISDK0003,SSISUSISDK0003.atlascopco.group,"[['10.76.208.9'], ['10.76.208.9'], ['fe80::dc42:5120:bee7:2930%3']]"
TDESBEAS0001,TDESBEAS0001.ACDMZSTG.local,"[['10.126.132.25'], ['185.180.76.153'], ['fe80::80d4:a5e2:35a0:e1b8', '10.126.132.25'], ['10.126.132.25'], ['fe80::80d4:a5e2:35a0:e1b8%13']]"
TMGSSEMSTFS01,TMGSSEMSTFS01.emea.group.atlascopco.com,"[['10.126.144.99'], ['10.126.144.99'], ['10.126.144.99']]"
TMGSSERS03,TMGSSERS03.emea.group.atlascopco.com,"[['10.126.144.93'], ['10.126.144.93'], ['10.126.144.93']]"
TMGSSESHUB01,TMGSSESHUB01.emea.group.atlascopco.com,"[['10.126.144.164'], ['10.126.144.164'], ['10.126.144.164']]"
TMGSSEVIDB01,TMGSSEVIDB01.emea.group.atlascopco.com,"[['10.126.144.96'], ['10.126.144.96'], ['10.126.144.96']]"
TOOSBEAP4001,TOOSBEAP4001.emea.group.atlascopco.com,"[['10.26.17.35'], ['10.26.17.35'], ['10.26.17.35']]"
TOOSBEPANT01,TOOSBEPANT01.emea.group.atlascopco.com,"[['10.126.145.15'], ['10.126.145.15'], ['10.126.145.15']]"
TOOSBEPDMTAPP01,TOOSBEPDMTAPP01.emea.group.atlascopco.com,"[['10.126.149.21'], ['fe80::20bd:ba58:574b:272d', '10.126.149.21'], ['10.126.149.21'], ['fe80::20bd:ba58:574b:272d']]"
TOOSBESAIDT10,TOOSBESAIDT10.acdmzstg.local,"[['185.180.76.140'], ['10.126.132.68'], ['fe80::ed82:1be8:8622:6e54', '10.126.145.253'], ['10.126.132.68'], ['10.126.145.253'], ['fe80::ed82:1be8:8622:6e54'], ['10.126.132.68']]"
TOOSBESERVAID01,TOOSBESERVAID01.ACDMZPRD.local,"[['185.180.76.139'], ['10.126.132.10'], ['fe80::a872:bf27:42b3:52a1', '10.126.145.254'], ['10.126.132.10'], ['10.126.145.254'], ['fe80::a872:bf27:42b3:52a1'], ['10.126.132.10']]"
TOOSEBEPSAID001,TOOSEBEPSAID001.emea.group.atlascopco.com,"[['10.126.145.64'], ['10.126.145.64'], ['10.126.145.64']]"
TOOSSEAS0012,TOOSSEAS0012.atlascopco.group,"[['10.76.115.8'], ['10.76.115.8'], ['fe80::9001:974d:28b0:2415%9']]"
TOOSSEAS0021,TOOSSEAS0021.atlascopco.group,"[['10.76.112.36'], ['10.76.112.36'], ['fe80::d1eb:881d:a250:d4d4']]"
TOOSSEAS0022,TOOSSEAS0022.atlascopco.group,"[['10.76.112.37'], ['10.76.112.37'], ['fe80::1e9:d0e9:2d63:e714']]"
TOOSSEAS0023,TOOSSEAS0023.atlascopco.group,"[['10.76.112.121'], ['10.76.112.121'], ['fe80::353d:9748:9937:7486']]"
TOOSSEAS0024,TOOSSEAS0024.atlascopco.group,"[['10.76.112.122'], ['10.76.112.122'], ['fe80::dd47:fd7a:9c71:b02c']]"
TOOSSEAS0025,TOOSSEAS0025.atlascopco.group,"[['10.76.112.123'], ['10.76.112.123'], ['fe80::d0f:3d40:28da:d145']]"
TOOSSEAS0026,TOOSSEAS0026.atlascopco.group,"[['10.76.112.124'], ['10.76.112.124'], ['fe80::7983:f29d:db2d:a06c']]"
TOOSSEAS0027,TOOSSEAS0027.atlascopco.group,"[['10.76.112.125'], ['10.76.112.125'], ['fe80::84f3:33ab:2ce9:618']]"
TOOSSEAS0028,TOOSSEAS0028.atlascopco.group,"[['10.76.112.126'], ['10.76.112.126'], ['fe80::f82f:4492:4469:7a6a']]"
TOOSSEAS0029,TOOSSEAS0029.atlascopco.group,"[['10.76.112.88'], ['10.76.112.88'], ['fe80::eca3:1556:fe11:ed7b']]"
TOOSSEAS0030,TOOSSEAS0030.atlascopco.group,"[['10.76.112.88'], ['10.76.112.89'], ['fe80::6c51:9436:de8d:f8a5']]"
TOOSSEDB55,TOOSSEDB55.workgroup,"[['10.126.160.31'], ['192.168.146.166'], ['10.126.160.31'], ['192.168.146.166']]"
TOOSSEJNK01,TOOSSEJNK01.emea.group.atlascopco.com,"[['10.46.17.206'], ['10.126.144.124'], ['192.168.64.1'], ['192.168.89.1'], ['10.46.17.206'], ['fe80::845d:5ee8:b8f0:b0dd', '192.168.89.1'], ['fe80::191e:9859:f026:329e', '192.168.64.1'], ['10.46.17.206'], ['192.168.64.1'], ['fe80::191e:9859:f026:329e'], ['192.168.89.1'], ['fe80::845d:5ee8:b8f0:b0dd']]"
TOOSSEPDMLNK04,TOOSSEPDMLNK04.emea.group.atlascopco.com,"[['10.146.196.31'], ['fe80::534:c7c:dff7:b748', '10.146.196.31'], ['10.146.196.31'], ['fe80::534:c7c:dff7:b748']]"
TOOSSESR001,TOOSSESR001.workgroup,"[['10.126.132.4'], ['185.180.76.134'], ['185.180.76.135'], ['10.126.132.4'], ['2002:b9b4:4c87::b9b4:4c87'], ['185.180.76.135'], ['10.126.132.4']]"
TOOSSEST4001,TOOSSEST4001.emea.group.atlascopco.com,"[['10.146.196.38'], ['10.146.196.38'], ['10.146.196.38']]"
TOPBEAP0001,TOPBEAP0001.emea.group.atlascopco.com,"[['10.199.18.191'], ['10.126.160.11'], ['192.168.146.191'], ['10.126.160.11'], ['10.199.18.191'], ['10.126.160.11'], ['192.168.146.191'], ['10.126.160.11'], ['192.168.146.191'], ['10.199.18.191']]"
TOPTS0001,TOPTS0001.emea.group.atlascopco.com,"[['10.126.132.12'], ['10.126.144.25'], ['10.26.2.31'], ['fe80::c1f3:2921:8c5:15db', '10.126.132.12', '169.254.21.219'], ['fe80::ed4c:8cb:ca2b:cbf1', '10.126.144.25'], ['fe80::6db5:8790:d538:b742', '10.26.2.31'], ['10.126.144.25'], ['fe80::ed4c:8cb:ca2b:cbf1%7'], ['10.26.2.31'], ['fe80::6db5:8790:d538:b742%8'], ['10.126.132.12'], ['fe80::c1f3:2921:8c5:15db%4']]"
TRPSBEAS07,TRPSBEAS07.EMEA.group.atlascopco.com,"[['10.126.146.19'], ['fe80::5010:6213:3be2:7f8d', '10.126.146.19'], ['10.126.146.19'], ['fe80::5010:6213:3be2:7f8d%4']]"
ACPSBEAPSYST14,no FQDN,no IP
ACPSBEAPSYST15,no FQDN,no IP
AIRCBEAP4325,no FQDN,no IP
